"","CustomerLifetimeValue","Response","Coverage","Income","MonthlyPremiumAuto","MonthsSinceLastClaim","MonthsSincePolicyInception","NumberofPolicies","Policy","RenewOfferType","TotalClaimAmount","VehicleClass","VehicleSize"
"1",0.020121293715782,0,1,0.282533681399466,90,25,89,1,5,1,0.219238192030518,0,2
"2",0.068888967614394,1,0,0.609315769996299,64,10,61,2,5,1,0.0798795859864361,5,1
"3",0.0595023381800159,0,0,0,61,2,76,2,2,1,0.101170674462514,5,2
"4",0.0334332583071527,0,1,0,130,11,0,1,4,2,0.323489625783219,4,1
"5",0.00463426825292953,0,0,0,64,11,85,1,5,3,0.229022452880239,0,1
"6",0.0253983610268238,0,0,0.724527660255449,100,5,22,1,4,1,0.165875443876749,4,1
"7",0.0187402028350932,0,1,0.299636931016893,90,8,77,1,5,3,0.149284477360278,0,1
"8",0.231723813387204,0,0,0,73,9,28,2,5,2,0.121079834282278,5,1
"9",0.105454803517863,1,1,0.61119612726418,89,22,93,2,0,1,0.0170583167609827,0,1
"10",0.256230874389637,0,0,0.705344015362919,63,13,26,2,2,0,0.104488867765808,0,2
"11",0.0100887365702477,1,0,0.140326662065793,72,11,3,1,4,1,0.119420737630631,5,0
"12",0.0452281663035782,0,0,0.578939998599734,69,4,0,9,5,2,0.149231878466099,0,2
"13",0.0488159076046799,0,0,0.771706624258609,73,30,39,7,4,0,0.154060572120726,0,2
"14",0.082264227173753,0,0,0.257899000810154,112,8,22,4,1,0,0.185784603696513,4,2
"15",0.00692383947391036,0,0,0.12224322621298,67,8,70,1,2,2,0.111125254372396,5,1
"16",0.0100857144292971,0,0,0.818145447635051,68,23,97,1,5,1,0.112784351024043,0,2
"17",0.0299169224775652,1,1,0.239085426230984,123,1,67,1,0,0,0.204034666864631,4,1
"18",0.0124143540232669,0,0,0.359018213460558,73,11,51,1,5,1,0.108125488724292,0,1
"19",0.178935074116273,1,0,0,63,4,52,2,2,1,0.236776572901042,0,1
"20",0.0875609667268291,0,2,0.990208139546514,112,33,75,8,3,2,0.185784603696513,0,1
"21",0.0744175105302118,0,0,0.511347155959632,67,3,67,2,5,0,0.148694025600665,0,1
"22",0.0666672268263693,0,1,0.623498464708295,92,9,61,4,0,0,0.00142309844843352,0,1
"23",0.00423158381666979,0,0,0,63,31,99,1,2,0,0.15675041229269,5,1
"24",0.015084168443352,0,1,0.345165581460477,81,0,54,1,5,1,0.134352607495455,0,2
"25",0.0170784069898045,0,1,0,97,27,17,1,4,1,0.354706907716759,0,1
"26",0.013006623329253,0,0,0.943799321871156,74,21,96,1,4,0,0.0675068944824218,5,0
"27",0.0314381818606544,0,0,0.547143957351897,113,6,75,1,5,0,0.161788555147653,4,1
"28",0.0413019564038925,0,0,0.902341444874526,66,14,88,5,3,3,0.109466157720749,0,2
